电影名称,评分,类型,制片国家/地区,时间,票房
不明身份 Unknown,7.1,剧情 / 悬疑 / 惊悚,美国/英国/德国/法国,2011年11月1日,770万
星空,7.2,剧情 / 爱情 / 奇幻,中国大陆/中国台湾,2011年11月3日,1633万
名侦探柯南：沉默的十五分钟 名探偵コナン 沈黙の15分,6.8,动画 / 悬疑,日本,2011年11月4日,3060万
猩球崛起 Rise of the Planet of the Apes,8.2,剧情 / 动作 / 科幻,美国,2011年10月28日,2.0335亿
爱封了 I Phone You,5.3,喜剧 / 爱情,中国大陆/德国,2011年10月13日,386万
恋爱恐慌症,5.5,喜剧 / 爱情,中国大陆/中国台湾,2011年10月14日,410万
嘿店,3.3,喜剧 / 惊悚,中国大陆,2011年10月21日,335万
与时尚同居,5.6,喜剧 / 爱情,中国大陆,2011年10月21日,680万
一夜迷情 Last Night,7.2,剧情 / 爱情,美国/法国,2011年10月14日,1055万
床下有人,2.9,悬疑 / 惊悚,中国大陆,2011年10月14日,1595万
幸福额度,5.8,喜剧 / 爱情,中国大陆,2011年10月20日,3335万
永无止境 Limitless,7.5,科幻 / 悬疑 / 惊悚,美国,2011年10月13日,5145万
绿灯侠 Green Lantern,6.0,动作 / 科幻,美国,2011年10月20日,7300万
夏日乐悠悠,6.1,喜剧 / 爱情,中国大陆/中国香港,2011年9月30日,375万
李献计历险记,6.4,爱情 / 奇幻 / 冒险,中国大陆,2011年10月1日,870万
洛克王国之圣龙骑士,6.6,动画,中国大陆,2011年9月30日,3340万
白蛇传说,4.8,动作 / 爱情 / 奇幻 / 古装,中国大陆,2011年9月28日,2.034亿
挪威的森林 ノルウェイの森,6.0,剧情 / 爱情,日本,2011年9月16日,340万
孤胆特工 아저씨,8.2,剧情 / 动作 / 犯罪 / 惊悚,韩国,2011年9月16日,1030万
紫宅,3.4,爱情 / 悬疑 / 惊悚,中国大陆/中国香港,2011年9月23日,1230万
五月天追梦 追夢3DNA,7.8,剧情 / 纪录片 / 音乐,中国大陆/中国台湾,2011年9月23日,2802万
辛亥革命,6.5,剧情 / 历史 / 战争,中国大陆/中国香港,2011年9月23日,6228万
狂暴飞车 Drive Angry 3D,5.9,动作 / 犯罪 / 奇幻 / 惊悚,美国,2011年9月15日,6320万
源代码 Source Code,8.5,科幻 / 悬疑 / 惊悚,美国/加拿大,2011年8月30日,7190万
大武生,5.2,剧情 / 动作 / 爱情,中国大陆,2011年9月9日,4820万
全球热恋,5.6,喜剧 / 爱情,中国大陆/中国香港,2011年9月8日,6730万
美国队长 Captain America: The First Avenger,7.1,动作 / 科幻 / 冒险,美国,2011年9月9日,9575万
海洋 Océans,9.1,纪录片,法国/瑞士/西班牙/美国/阿联酋/摩纳哥,2011年8月12日,2550万
巴黎宝贝,5.5,剧情 / 喜剧 / 爱情,中国大陆,2011年8月25日,2155万
无价之宝,3.7,喜剧,中国大陆/中国香港,2011年8月19日,1825万
女巫季节 Season of the Witch,5.5,动作 / 奇幻 / 冒险,美国,2011年8月19日,3870万
赛车总动员2 Cars 2,7.8,喜剧 / 动画 / 冒险,美国,2011年8月24鈤,7820万
无极限之危情速递,3.5,喜剧 / 动作 / 爱情 / 冒险,中国大陆,2011年8月12日,330万
蓝精灵 The Smurfs,7.2,喜剧 / 动画 / 奇幻,美国/比利时,2011年8月10日,2.5775亿
水落石出,2.5,犯罪 / 惊悚 / 恐怖 / 情色,中国大陆,2011年8月5日,225万
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,9.0,奇幻 / 冒险,美国/英国,2011年8月4日,4.1095亿
像小强一样活着,5.9,喜剧,中国大陆,2011年7月29日,330万
蛋炒饭,7.0,剧情 / 喜剧,中国大陆,2011年7月28日,150万
热浪球爱战 熱浪球愛戰,4.4,剧情 / 爱情 / 运动,中国香港,2011年7月29日,155万
秋之白华,6.8,剧情 / 传记 / 历史 / 爱情,中国大陆,2011年6月28日,325万
郭明义,5.2,剧情 / 传记,中国大陆,2011年7月15日,440万
杨善洲,7.8,剧情 / 传记,中国大陆,2011年7月19日,8005万
飞天,3.6,剧情,中国大陆,2011年7月1日,5510万
赛尔号大电影之寻找凤凰神兽,4.4,动画 / 奇幻 / 冒险,中国大陆,2011年7月28日,4295万
变形金刚3 Transformers: Dark of the Moon,7.2,动作 / 科幻,美国,2011年7月21日,10.93亿
报应 報應,5.8,犯罪 / 惊悚,中国香港,2011年7月12日,600万
钢的琴,8.5,剧情 / 喜剧,中国大陆,2011年7月15日,270万
一夜未了情,5.1,剧情 / 爱情,中国大陆,2011年15日,645万
战略特勤组 Unthinkable,7.9,剧情 / 悬疑 / 惊悚,美国,2011年7月10日,2960万
肩上蝶,4.9,剧情 / 爱情 / 动画 / 奇幻,中国大陆,2011年7月8日,1150万
武侠,6.7,剧情 / 动作 / 悬疑 / 武侠,中国香港/中国大陆,2011年7月4日,1.733亿
夺命心跳,5.1,悬疑 / 惊悚,中国大陆,2011年7月1日,1495万
雪花秘扇 Snow Flower and the Secret Fan,5.8,剧情 / 历史,中国大陆/美国,2011年6月24日,3515万
动物总动员 Konferenz der Tiere,6.6,喜剧 / 动画 / 家庭,德国,2011年6月24日,6135万
湘江北去,4.3,剧情 / 历史 / 战争,中国大陆,2011年6月10日,15万
敏感事件,5.1,惊悚,中国大陆,2011年6月6日,220万
超能游戏者 Геймеры. В поисках цели,5.5,动作 / 科幻 / 犯罪 / 冒险 / 恐怖,俄罗斯,2011年6月10日,1335万
岁岁清明,6.9,剧情,中国大陆,2011年6月3日,155万
西柏坡,3.2,动画,中国大陆,2011年5月26日,55万
B区32号,2.4,剧情 / 惊悚 / 恐怖,中国大陆,2011年6月3日,1395万
天际浩劫 Skyline,4.8,动作 / 科幻 / 灾难,美国,2011年6月3日,5675千万
你是哪里人,4.9,剧情 / 喜剧,中国大陆,2011年5月27日,60万
加勒比海盗4：惊涛怪浪 Pirates of the Caribbean: On Stranger Tides,7.8,动作 / 奇幻 / 冒险,美国,2011年5月20日,4.6335亿
蔡李佛拳,3.5,喜剧 / 动作,中国大陆/中国香港,2011年5月10日,50万
不再让你孤单,7.0,剧情 / 爱情,中国香港/中国大陆,2011年5月13日,2260万
宇宙英雄之超银河传说 大怪獣バトル ウルトラ銀河伝説 THE MOVIE,7.8,动作 / 冒险 / 家庭 / 奇幻 / 科幻,日本,2011年5月13日,3115万
最爱,7.4,剧情 / 爱情,中国大陆/中国香港,2011年5月10日,5760万
速度与激情5 Fast Five,8.5,动作 / 犯罪,美国,2011年5月12日,2.5595亿
雷神 Thor,7.1,动作 / 奇幻 / 冒险,美国,2011年5月8日,9815万
跟踪孔令学,6.7,喜剧 / 悬疑,中国大陆,2011年4月30日,277万
倩女幽魂,8.8,爱情 / 奇幻 / 武侠 / 古装,中国香港,2011年4月30日,280万
恐龙宝贝,7.0,动画,中国大陆,2011年4月29日,300万
迷踪：第九鹰团 The Eagle,6.3,剧情 / 历史 / 战争,美国/英国,2011年4月29日,840万
危情三日 The Next Three Days,8.1,剧情 / 动作 / 爱情 / 犯罪 / 惊悚,美国/法国,2011年4月29日,2315万
B+侦探 B+偵探,5.9,剧情 / 犯罪 / 悬疑 / 惊悚,中国香港/中国大陆,2011年4月29,2285万
关云长,5.0,传记 / 动作 / 历史 / 古装,中国大陆/中国香港,2011年4月26日,1.5897亿
倩女幽魂,5.5,剧情 / 奇幻 / 惊悚 / 古装,中国大陆/中国香港,2011年4月19日,1.4155亿
美少女特攻队 Sucker Punch,6.3,动作 / 奇幻 / 冒险,美国/加拿大,2011年4月15日,4755万
战国,3.9,剧情 / 动作 / 爱情 / 战争 / 悬疑 / 古装,中国大陆,2011年4月12日,7765万
蔡李佛,3.7,剧情 / 动作,中国大陆/中国香港,2011年4月2日,160万
囧探佳人,4.6,喜剧 / 惊悚,中国大陆,2011年4月7日,195万
万有引力,6.3,剧情 / 喜剧 / 爱情 / 悬疑,中国大陆/中国香港,2011年4月8日,430万
隐婚男女,5.6,剧情 / 爱情,中国大陆/中国香港/日本,2011年4月8日,1360万
里约大冒险 Rio,8.3,喜剧 / 动画 / 冒险,美国,2011年4月8日,1.3845亿
宅男总动员,3.6,喜剧 / 爱情,中国大陆,2011年4月1日,467万
夜惊魂,3.7,恐怖,中国大陆,2011年4月2日,810万
单身男女 單身男女,6.8,喜剧 / 爱情,中国香港,2011年3月31日,9615万
硬汉2：奉陪到底,6.4,动作 / 爱情,中国大陆,2011年4月1日,2295万
守望者：罪恶迷途,6.9,剧情 / 犯罪 / 悬疑 / 惊悚,中国大陆,2011年3月25日,1765万
惊沙,6.6,历史 / 战争,中国大陆,2011年3月12日,80万
洛杉矶之战 Battle: Los Angeles,6.1,动作 / 科幻,美国,2011年3月18日,2.2413亿
歼十出击,4.6,剧情 / 动作,中国大陆,2011年3月10日,265万
大人物,3.7,喜剧,中国大陆,2011年3月11日,985万
寻龙夺宝 The Dragon Pearl,3.8,动作 / 奇幻 / 冒险 / 家庭,澳大利亚/中国大陆,2011年3月11日,3155万
致命请柬,2.5,剧情 / 悬疑 / 惊悚 / 恐怖 / 鬼怪,中国大陆,2011年3月4日,990万
艺术家 The Artist,8.4,剧情 / 喜剧 / 爱情,法国/比利时/美国,2012年12月28日,154万
地下室惊魂,3.4,剧情 / 悬疑 / 惊悚 / 恐怖,中国大陆,2012年12月28日,695万
秘密花园,5.2,喜剧 / 爱情 / 奇幻,中国大陆,2012年12月28日,262万
金箍棒传奇,5.5,喜剧 / 动画 / 冒险,中国大陆,2012年12月29日,1026万
大上海,6.7,剧情 / 动作,中国大陆/中国香港,2012年12月21日,1.4561亿
血滴子,4.7,动作 / 武侠 / 古装,中国大陆/中国香港,2012年12月20日,6985万
十二生肖,6.8,喜剧 / 动作 / 冒险,中国大陆/中国香港,2012年12月20日,8.6375亿
异度迷局,2.4,悬疑 / 惊悚,中国大陆,2012年12月14日,150万
目击者,5.8,剧情 / 动作 / 悬疑 / 惊悚,中国大陆,2012年11月20日,775万
我老公不靠谱 我老婆唔够秤II：我老公唔生性,6.5,喜剧 / 爱情,中国香港,2012年12月7日,2360万
人再囧途之泰囧,7.5,喜剧,中国大陆,2012年12月12日,12.4353亿
恋爱三万英尺,3.4,喜剧 / 爱情,中国大陆,2012年11月23日,290万
无间罪：僵尸重生,2.7,惊悚 / 恐怖,中国大陆,2012年11月23日,510万
2012,8.0,科幻 / 灾难,美国/加拿大,2012年11月20日,1.344亿
王的盛宴,5.7,历史 / 古装,中国大陆,2012年11月29日,7395万
一九四二,8.1,剧情 / 历史 / 战争 / 灾难,中国大陆,2012年11月29日,3.606亿
少年派的奇幻漂流 Life of Pi,9.1,剧情 / 奇幻 / 冒险,美国/中国台湾/英国/加拿大,2012年11月22日,5.602亿
三个未婚妈妈,4.1,剧情,中国大陆,2012年10月26日,390万
普罗旺斯惊魂记 Derrière les murs,3.9,剧情 / 悬疑 / 惊悚 / 恐怖,法国,2012年10月30日,1585万
诡爱,5.5,悬疑 / 惊悚,中国大陆,2012年10月30日,1210万
新妈妈再爱我一次,4.7,剧情 / 爱情 / 家庭,中国大陆,2012年11月9日,532万
冰雪11天,7.1,剧情 / 灾难,中国大陆,2012年11月1日,818万
给野兽献花,4.8,剧情 / 爱情,中国大陆,2012年11月16日,610万
天生爱情狂 天生愛情狂,5.8,喜剧 / 爱情,中国香港,2012年11月9日,960万
幻影追凶 Faces in the Crowd,6.2,剧情 / 惊悚 / 犯罪,美国/法国/加拿大/英国,2012年11月13日,1245万
守护者联盟 Rise of the Guardians,8.2,动画 / 家庭 / 奇幻 / 冒险,美国,2012年11月16日,2780万
无敌破坏王 Wreck-It Ralph,8.7,喜剧 / 动画 / 奇幻 / 冒险,美国,2012年11月6日,6255万
寒战 寒戰,7.6,剧情 / 动作 / 犯罪,中国香港/中国大陆,201年11月8日,2.4865亿
叛谍追击 The Expatriate,6.1,动作 / 惊悚,美国/加拿大/比利时,2012年10月12日,1316万
安娜·卡列尼娜 Anna Karenina,7.3,剧情 / 爱情,英国,2012年10月16日,1130万
男人如衣服,5.1,喜剧 / 爱情,中国香港/中国大陆,2012年10月12日,2680万
雨中的树,5.7,剧情,中国大陆,2012年9月19日,1755万
太极2：英雄崛起,5.9,喜剧 / 动作 / 奇幻 / 武侠 / 古装,中国大陆,2012年10月25日,1.2135亿
暮光之城4：破晓(上) The Twilight Saga: Breaking Dawn - Part 1,6.9,剧情 / 爱情 / 惊悚 / 奇幻 / 冒险,美国,2012年10月23日,3295万
全面回忆 Total Recall,7.1,动作 / 科幻 / 惊悚 / 冒险,美国/加拿大,2012年10月20日,1.1599亿
谍影重重4 The Bourne Legacy,6.8,动作 / 悬疑 / 惊悚,美国/日本,2012年10月25日,2.1925亿
宝贝女儿好妈妈之吃记忆的大雪球,5.7,喜剧 / 动画 / 家庭,中国大陆,2012年9月30日,350万
飓风营救2 Taken 2,6.9,剧情 / 动作 / 犯罪,法国/美国,2012年10月7日,1.163亿
萨米大冒险 Le Voyage extraordinaire de Samy,6.9,动画 / 冒险,比利时/法国,2012年9月30日,2150万
危险关系,5.9,剧情 / 爱情,中国大陆/韩国/新加坡,2012年9月27日,5925万
铜雀台,5.2,剧情 / 古装,中国大陆,2012年9月26日,9835万
二次曝光,6.1,剧情 / 爱情 / 悬疑,中国大陆,2012年9月29日,1.0662亿
环形使者 Looper,6.9,动作 / 科幻 / 惊悚,美国/中国大陆,2012年9月28日,1.2785亿
太极1：从零开始,5.7,喜剧 / 动作 / 奇幻 / 武侠 / 古装,中国大陆,2012年9月27日,1.464亿
毕业那年,3.9,剧情 / 音乐,中国大陆,2012年9月21日,79万
非常营救,5.4,剧情 / 悬疑,中国大陆,2012年9月21日,65万
伤心童话,5.0,喜剧 / 爱情,中国大陆,2012年9月14日,1020万
秘鲁大冒险 Las aventuras de Tadeo Jones,6.5,动画 / 冒险,西班牙,2012年9月14日,1220万
黑衣女人 The Woman in Black,5.8,剧情 / 惊悚 / 恐怖,英国/加拿大/瑞典,2012年9月20日,1678万
白鹿原,6.5,剧情 / 历史,中国大陆,2012年9月15日,1.2975亿
超凡蜘蛛侠 The Amazing Spider-Man,7.7,动作 / 科幻 / 奇幻 / 冒险,美国,2012年8月27日,3.2038亿
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,8.8,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国/英国,2012年8月27日,3.5085亿
普罗米修斯 Prometheus,7.6,科幻 / 惊悚 / 冒险,美国/英国,2012年9月2日,2.2415亿
敢死队2 The Expendables 2,7.0,动作 / 冒险,美国/德国/保加利亚/中国大陆,2012年9月4日,3.3555亿
爆笑角斗士 勁抽福祿壽,6.3,喜剧,中国香港,2012年8月23日,400万
恐怖旅馆,2.8,喜剧 / 恐怖,中国大陆,2012年8月17日,1481万
边境风云,7.8,剧情 / 犯罪,中国大陆,2012年8月17日,2978万
河东狮吼2,3.5,喜剧 / 动作 / 爱情,中国大陆/中国香港,2012年8月17日,7405万
HOLD住爱,3.6,喜剧 / 爱情 / 悬疑,中国大陆,2012年8月23日,4580万
消失的子弹,6.5,动作 / 悬疑 / 犯罪,中国大陆/中国香港,2012年8月14日,1.6005亿
乐翻天,5.1,喜剧,中国大陆,2012年8月2日,520万
搞定岳父大人,6.4,喜剧 / 爱情 / 家庭,中国大陆,2012年8月3日,1575万
神秘世界历险记,7.2,喜剧 / 动画 / 家庭 / 奇幻 / 冒险,中国大陆,2012年8月10日,2160万
太空一号 Lockout,6.2,动作 / 科幻 / 惊悚,美国/法国,2012年8月7日,3540万
机械师 The Mechanic,7.2,动作 / 惊悚,美国,2012年8月2日,8900万
我爱灰太狼,4.7,喜剧 / 动画 / 冒险,中国大陆,2012年8月10日,7250万
听风者,6.9,剧情 / 悬疑,中国大陆/中国香港,2012年8月7日,2.422亿
神探亨特张,7.0,动作 / 犯罪,中国大陆,2012年7月20日,770万
老雷斯的故事 The Lorax,6.9,动画 / 奇幻 / 家庭,美国/法国,2012年7月27日,1345万
笔仙,4.7,悬疑 / 恐怖,中国大陆,2012年7月16日,6010万
在劫难逃 Abduction,5.8,剧情 / 动作 / 悬疑 / 惊悚,美国,2012年7月27日,5270万
冰川时代4 Ice Age: Continental Drift,8.1,喜剧 / 动画 / 冒险,美国,2012年7月27日,4.578亿
青魇,6.1,剧情 / 悬疑 / 恐怖,中国大陆/中国香港,2012年7月6日,765万
十二星座离奇事件,3.1,悬疑 / 惊悚 / 犯罪,中国大陆,2012年7月13日,1930万
超决战！贝利亚银河帝国 ウルトラマンゼロ THE MOVIE 超決戦！ベリアル銀河帝国,7.7,动作,日本,2012年7月12日,1965万
大武当之天地密码,4.0,喜剧 / 动作 / 冒险,中国大陆/中国香港,2012年7月6日,3400万
麦兜·当当伴我心 麥兜‧噹噹伴我心,8.5,喜剧 / 动画,中国大陆/中国香港,2012年7月10日,4620万
搜索,7.4,剧情 / 悬疑,中国大陆,2012年7月6日,1.763亿
四大名捕,5.4,动作 / 爱情 / 悬疑 / 武侠 / 古装,中国大陆/中国香港,2012年7月12日,1.961亿
勇敢传说 Brave,7.6,喜剧 / 动画 / 奇幻 / 冒险,美国,2012年6月19日,2625万
猪猪侠之囧囧危机,6.3,动画 / 儿童,中国大陆,2012年6月28日,1150万
车手 車手,6.1,动作 / 犯罪 / 剧情,中国大陆/中国香港,2012年6月21日,2680万
赛尔号大电影2之雷伊与迈尔斯,5.5,动画 / 奇幻 / 冒险,中国大陆,2012年6月28日,3211万
痞子英雄之全面开战 痞子英雄,6.3,剧情 / 动作 / 犯罪,中国大陆/中国台湾,2012年6月19日,8945万
画皮2 畫皮Ⅱ,6.1,剧情 / 爱情 / 奇幻 / 惊悚,中国大陆/中国香港,2012年6月28日,7.264亿
宝岛双雄 寶島雙雄,4.4,喜剧 / 动作 / 爱情,中国大陆/中国台湾,2012年6月8日,700万
2012喜上加喜 2012我愛HK 喜上加囍,6.1,剧情 / 喜剧,中国香港/中国大陆,2012年6月15日,360万
特工争风 This Means War,6.6,喜剧 / 动作 / 爱情,美国,2012年6月16日,1700万
半夜不要照镜子,3.6,悬疑 / 惊悚,中国大陆,2012年6月14日,1160万
百万巨鳄,5.0,喜剧 / 惊悚 / 灾难,中国大陆,2012年6月8日,1210万
笔仙惊魂,3.4,悬疑 / 惊悚 / 恐怖,中国大陆,2012年6月8日,2325万
第一次,6.1,爱情,中国大陆,2012年6月8日,3390万
马达加斯加3 Madagascar 3: Europe&#39;s Most Wanted,8.2,喜剧 / 动画 / 冒险,美国,2012年6月8日,2.144亿
饥饿游戏 The Hunger Games,7.1,动作 / 科幻 / 冒险,美国,2012年6月14日,1.784亿
忠诚与背叛,5.0,剧情 / 历史,中国大陆,2012年5月23日,1150万
超蛙战士之威武教官,5.1,动作 / 科幻 / 动画,中国大陆,2012年6月1日,500万
醉后一夜,5.4,喜剧 / 爱情 / 悬疑,中国大陆/中国香港,2012年6月1日,990万
雨果 Hugo,7.7,剧情 / 儿童 / 奇幻 / 冒险,英国/美国/法国,2012年5月31日,2110万
潜艇总动员2,4.0,喜剧 / 动画 / 家庭 / 冒险,中国大陆,2012年6月1日,1690万
白雪公主之魔镜魔镜 Mirror Mirror,6.2,剧情 / 喜剧 / 奇幻 / 冒险,美国,2012年6月1日,4453万
神奇海盗团 The Pirates! In an Adventure with Scientists!,7.0,喜剧 / 动画 / 家庭 / 冒险,英国/美国,2012年6月1日,3690万
黑衣人3 Men in Black III,7.7,动作 / 喜剧 / 科幻,美国,2012年5月25日,5.1655亿
浮城大亨 浮城,7.5,剧情,中国大陆/中国香港,2012年5月18日,830万
赛德克·巴莱 賽德克·巴萊,8.8,剧情 / 历史 / 战争,中国台湾,2012年5月10日,1475万
追凶,4.5,犯罪 / 悬疑 / 惊悚,中国香港,2012年5月11日,1515万
影子爱人 影子愛人,4.1,喜剧 / 爱情,中国大陆/中国香港,2012年5月11日,1760万
人狼大战 The Grey,6.5,剧情 / 动作 / 惊悚 / 冒险,美国,2012年5月18日,3830万
三个火枪手 The Three Musketeers,6.7,动作 / 冒险 / 爱情,美国/德国/法国/英国,2012年5月15日,4150万
我是大熊猫,3.0,动画 / 冒险,中国大陆,2012年4月29日,395万
形影不离,5.9,剧情 / 悬疑,中国大陆,2012年5月4日,880万
匹夫,5.4,剧情 / 动作 / 战争 / 西部,中国大陆,2012年4月23日,2460万
杀生,7.8,剧情 / 悬疑,中国大陆,2012年4月28日,1900万
黄金大劫案,6.8,剧情 / 喜剧 / 动作 / 历史 / 爱情 / 战争,中国大陆,2012年4月23日,1.5345亿
复仇者联盟 The Avengers,8.3,动作 / 科幻 / 奇幻 / 冒险,美国,2012年5月5日,5.7285亿
荒岛情未了,3.7,悬疑 / 惊悚 / 冒险,中国大陆,2012年4月13日,330万
爱在那一天,4.2,剧情 / 爱情,中国大陆,2012年4月13日,510万
纽约行动 Ninja,4.4,动作 / 犯罪 / 剧情 / 惊悚,美国,2012年4月13日,1220万
迈阿密行动 R.T.T.,6.1,喜剧 / 爱情,法国,2012年4月12日,1665万
灵魂战车2：复仇时刻 Ghost Rider: Spirit of Vengeance,5.9,动作 / 奇幻 / 惊悚,美国/阿联酋,2012年4月20日,5750万
超级战舰 Battleship,6.7,动作 / 科幻 / 冒险 / 灾难,美国/日本/中国香港,2012年4月18日,3.164亿
台北飘雪 Snowfall in Taipei,5.6,剧情,中国大陆/日本/中国香港/中国台湾,2012年4月1日,180万
车在囧途,3.9,喜剧 / 爱情,中国大陆,2012年4月1日,2695万
绣花鞋,4.4,剧情 / 恐怖,中国大陆,2012年3月31日,4430万
春娇与志明 春嬌與志明,7.3,剧情 / 喜剧 / 爱情,中国香港/中国大陆,2012年3月30日,7135万
诸神之怒 Wrath of the Titans,6.1,动作 / 奇幻 / 冒险,美国,2012年3月30日,1.6505亿
兵临城下之决战要塞 Брестская Крепость,8.0,剧情 / 动作 / 历史 / 战争,俄罗斯/白俄罗斯,2012年3月16日,450万
饮食男女：好远又好近,5.3,剧情 / 喜剧 / 爱情,中国大陆/中国台湾,2012年3月23日,270万
玩命追踪 Blitz,6.3,动作 / 犯罪 / 惊悚,英国/法国/美国,2012年3月16日,3065万
大追捕,7.3,剧情 / 动作 / 犯罪 / 悬疑 / 惊悚,中国香港/中国大陆,2012年3月15日,4830万
异星战场 John Carter,6.5,动作 / 科幻 / 奇幻 / 冒险,美国,2012年3月16日,2.617亿
神通乡巴佬,4.2,剧情 / 喜剧 / 爱情,中国大陆,2012年3月8日,215万
高举爱 高舉‧愛,6.1,剧情 / 爱情,中国香港,2012年3月8日,250万
疯狂的蠢贼,4.1,喜剧 / 犯罪,中国大陆,2012年3月1日,1315万
变节：潜罪犯 Laughing Gor之潛罪犯,6.1,动作 / 犯罪 / 悬疑,中国香港,2012年3月2日,1200万
史前怪兽 Legendary,3.0,动作 / 科幻 / 惊悚 / 冒险,英国/中国大陆,2013年12月31日,3397万
等风来,5.7,喜剧 / 爱情,中国大陆,2013年12月31日,7498万
一夜惊喜,5.2,喜剧 / 爱情,中国大陆/中国香港,2013年8月9日,1.6652亿
饥饿游戏2：星火燎原 The Hunger Games: Catching Fire,7.4,动作 / 科幻 / 冒险,美国,2013年11月21日,1.7103亿
四大名捕2,5.3,动作 / 悬疑 / 奇幻 / 武侠 / 古装,中国大陆/中国香港,2013年12月6日,1.7252亿
惊天危机 White House Down,7.3,动作 / 灾难,美国,2013年7月22日,1.7582亿
全民目击,7.8,剧情 / 犯罪 / 悬疑,中国大陆,2013年9月13日,1.7915亿
分手合约,5.8,爱情,中国大陆/韩国,2013年4月12日,1.9004亿
101次求婚,5.7,爱情,中国大陆/中国台湾/日本,2013年2月12日,1.9601亿
虎胆龙威5 A Good Day to Die Hard,6.4,动作 / 惊悚 / 犯罪,美国/英国/匈牙利,2013年3月14日,1.9804亿
盲探,7.2,喜剧 / 爱情 / 悬疑 / 惊悚 / 犯罪,中国大陆/中国香港,2013年7月4日,2.073亿
怪兽大学 Monsters University,8.3,喜剧 / 动画 / 冒险,美国,2013年8月23日,2.0783亿
重返地球 After Earth,5.7,动作 / 科幻 / 冒险,美国,2013年7月12日,2.1292亿
扫毒 掃毒,7.6,剧情 / 动作 / 犯罪 / 悬疑,中国大陆/中国香港,2013年11月29日,2.358亿
金刚狼2 The Wolverine,6.7,动作 / 科幻,美国/英国,2013年10月17日,2.489亿
金蝉脱壳 Escape Plan,7.8,动作 / 惊悚,美国,2013年11月4日,2.508亿
无人区,8.3,剧情 / 犯罪 / 西部,中国大陆,2013年12月3日,2.5598亿
厨子戏子痞子,7.2,喜剧 / 动作,中国大陆,2013年3月29日,2.6917亿
警察故事2013,5.9,剧情 / 动作 / 犯罪,中国大陆/中国香港,2013年12月24日,5.2714亿
不二神探,4.8,喜剧 / 动作 / 犯罪,中国大陆,2013年6月21日,2.7997亿
一代宗师 一代宗師,8.1,剧情 / 传记 / 动作 / 爱情,中国大陆/中国香港,2013年1月8日,2.8201亿
小时代2：青木时代,5.1,剧情 / 喜剧 / 爱情,中国大陆/中国台湾,2013年8月8日,2.9173亿
天机·富春山居图,3.0,动作 / 冒险,中国大陆,2013年6月9日,2.9397亿
风暴 風暴,6.5,动作 / 犯罪,中国香港/中国大陆,2013年12月12日,3.1036亿
霍比特人1：意外之旅 The Hobbit: An Unexpected Journey,8.4,动作 / 奇幻 / 冒险,美国/新西兰,2013年2月22日,3.1227亿
特种部队2：全面反击 G.I. Joe: Retaliation,6.6,动作 / 科幻,美国,2013年4月15日,3.343亿
雷神2：黑暗世界 Thor: The Dark World,7.4,动作 / 奇幻 / 冒险,美国,2013年11月8日,3.391亿
侏罗纪公园 Jurassic Park,8.2,科幻 / 惊悚 / 冒险,美国,2013年8月20日,3.4447亿
星际迷航2：暗黑无界 Star Trek Into Darkness,8.0,动作 / 科幻 / 冒险,美国,2013年5月28日,3.5154亿
007：大破天幕杀机 Skyfall,7.2,动作 / 惊悚 / 冒险,英国/美国/土耳其,2013年1月21日,3.6949亿
疯狂原始人 The Croods,8.7,喜剧 / 动画 / 冒险,美国,2013年4月20日,3.9107亿
超人：钢铁之躯 Man of Steel,7.3,动作 / 科幻 / 冒险,美国/英国,2013年6月20日,3.9192亿
速度与激情6 Furious 6,7.9,动作 / 犯罪,美国,2013年7月26日,4.3292亿
小时代,4.9,剧情 / 喜剧 / 爱情,中国大陆/中国台湾,2013年6月27日,4.7937亿
北京遇上西雅图,7.3,喜剧 / 爱情,中国大陆/中国香港,2013年3月21日,5.133亿
中国合伙人,7.6,剧情,中国大陆/中国香港,2013年5月17日,5.3402亿
私人订制,5.9,喜剧,中国大陆,2013年12月19日,7.0525亿
狄仁杰之神都龙王,6.5,动作 / 悬疑 / 古装,中国大陆/中国香港,2013年9月28日,5.9022亿
环太平洋 Pacific Rim,7.7,动作 / 科幻 / 冒险,美国,2013年7月31日,7.086亿
西游降魔篇,7.2,喜剧 / 奇幻 / 冒险,中国大陆/中国香港,2013年2月10日,12.3537亿
魔境仙踪 Oz: The Great and Powerful,6.4,奇幻 / 冒险,美国,2013年3月29日,1.6227亿
极乐空间 Elysium,6.4,剧情 / 动作 / 科幻,美国,2013年9月5日,1.5827亿
特殊身份,4.4,动作 / 犯罪,中国大陆,2013年10月18日,1.5361亿
快乐到家,3.3,喜剧,中国大陆,2013年1月15日,1.4935亿
遗落战境 Oblivion,7.1,动作 / 科幻 / 冒险,美国,2013年5月10日,1.4738亿
被偷走的那五年,6.0,爱情,中国大陆,2013年8月29日,1.4693亿
毒战 毒戰,7.5,剧情 / 动作 / 犯罪,中国大陆/中国香港,2013年4月12日,1.4517亿
惊天魔盗团 Now You See Me,7.8,剧情 / 犯罪 / 悬疑,美国/法国,2013年10月10日,1.408亿
蓝精灵2 The Smurfs 2,6.6,喜剧 / 动画 / 奇幻,美国,2013年9月12日,1.3503亿
